time, gx, gy, gz, ax, ay, az, mx, my, mz
10807950,-0.160,+0.090,-0.060,+0.025,-0.066,+9.930,+25.300,+2.700,-33.600
10807960,-0.110,+0.020,+0.020,+0.027,-0.072,+9.933,+25.300,+2.700,-33.600
10807970,-0.140,-0.040,-0.040,+0.035,-0.077,+9.920,+24.600,+4.000,-36.900
10807980,-0.070,+0.030,+0.050,+0.015,-0.079,+9.933,+25.400,+2.400,-33.500
10807990,-0.140,-0.020,-0.070,+0.016,-0.080,+9.913,+25.300,+2.700,-33.500
10808000,+0.000,-0.010,+0.120,+0.012,-0.060,+9.930,+25.300,+2.700,-33.600
10808010,-0.030,+0.050,+0.040,+0.028,-0.066,+9.963,+25.300,+2.600,-33.800
10808020,-0.080,+0.000,+0.020,+0.018,-0.079,+9.909,+25.400,+2.700,-33.800
10808030,-0.110,-0.060,+0.000,+0.022,-0.085,+9.916,+25.600,+2.700,-33.600
10808040,-0.070,-0.060,-0.020,+0.022,-0.076,+9.938,+25.600,+2.900,-34.100
10808050,-0.150,-0.080,-0.070,+0.019,-0.078,+9.910,+25.400,+2.700,-33.600
10808060,-0.140,-0.070,+0.000,+0.011,-0.076,+9.926,+25.400,+2.400,-34.000
10808070,-0.060,-0.060,-0.060,+0.023,-0.070,+9.932,+25.400,+2.700,-33.600
10808080,-0.010,+0.020,-0.100,+0.002,-0.068,+9.954,+25.100,+2.600,-33.600
10808090,-0.040,-0.010,-0.160,+0.009,-0.077,+9.918,+25.400,+2.700,-33.800
10808100,-0.130,+0.030,-0.140,+0.025,-0.070,+9.924,+24.600,+4.500,-36.900
10808110,+0.010,-0.020,-0.110,+0.016,-0.050,+9.940,+25.300,+2.600,-33.500
10808120,-0.110,+0.040,-0.100,+0.028,-0.057,+9.897,+25.300,+3.100,-33.500
10808130,-0.110,+0.080,-0.130,+0.012,-0.088,+9.911,+25.600,+2.400,-33.500
10808140,-0.130,+0.080,-0.050,+0.026,-0.063,+9.915,+24.500,+4.500,-36.900
10808150,-0.100,+0.070,-0.060,+0.025,-0.061,+9.958,+24.500,+4.000,-36.800
10808160,+0.010,-0.020,-0.120,+0.012,-0.076,+9.915,+25.400,+2.700,-33.500
10808170,-0.030,+0.020,-0.090,+0.034,-0.075,+9.889,+25.800,+2.700,-33.600
10808180,-0.070,-0.080,-0.100,+0.025,-0.075,+9.923,+25.600,+2.600,-33.600
10808190,-0.050,+0.030,+0.040,+0.018,-0.068,+9.918,+24.500,+4.200,-37.100
10808200,-0.070,+0.010,-0.050,+0.009,-0.064,+9.925,+24.500,+4.200,-34.300
10808210,-0.010,-0.010,-0.030,+0.018,-0.062,+9.897,+25.400,+2.900,-33.800
10808220,-0.150,+0.010,-0.050,+0.006,-0.062,+9.927,+24.500,+4.400,-36.900
10808230,+0.060,-0.020,+0.100,+0.031,-0.068,+9.924,+25.600,+2.400,-33.600
10808240,-0.100,+0.010,-0.070,+0.025,-0.075,+9.933,+25.300,+2.600,-33.000
10808250,-0.130,+0.040,-0.100,+0.034,-0.066,+9.930,+25.800,+2.900,-33.500
10808260,-0.060,+0.010,-0.020,+0.022,-0.070,+9.916,+24.100,+4.000,-37.100
10808270,-0.060,-0.020,-0.100,+0.023,-0.084,+9.928,+25.400,+2.600,-33.500
10808280,+0.040,+0.000,-0.110,+0.025,-0.070,+9.931,+25.600,+2.400,-33.100
