x,y,radius,r,g,b
299,193,4.2343,216,191,148
223,182,4.2343,120,101,74
254,177,4.2343,225,191,146
69,162,4.2343,162,171,147
369,158,4.2343,219,201,156
452,142,4.2343,117,94,42
492,141,4.2343,179,130,49
274,134,4.2343,208,159,116
251,130,4.2343,165,125,80
306,122,4.2343,213,180,145
447,93,4.2343,174,164,118
482,86,4.2343,84,85,67
372,80,4.2343,212,199,153
224,63,4.2343,130,119,79
285,35,4.2343,209,171,111
429,23,4.2343,182,143,63
213,-11,4.2343,174,149,89
425,487,4.1078800000000015,188,203,204
488,481,4.1078800000000015,139,116,51
480,472,4.1078800000000015,141,121,56
509,464,4.1078800000000015,166,139,60
490,453,4.1078800000000015,214,169,62
405,431,4.1078800000000015,162,128,56
132,423,4.1078800000000015,94,90,62
312,420,4.1078800000000015,115,96,43
451,416,4.1078800000000015,155,123,54
368,410,4.1078800000000015,113,97,49
499,386,4.1078800000000015,196,203,175
158,384,4.1078800000000015,141,120,65
404,371,4.1078800000000015,143,113,47
175,355,4.1078800000000015,188,160,100
105,350,4.1078800000000015,141,122,67
498,300,4.1078800000000015,180,146,57
366,295,4.1078800000000015,99,82,43
182,294,4.1078800000000015,190,153,91
58,290,4.1078800000000015,148,162,137
175,285,4.1078800000000015,195,155,92
438,279,4.1078800000000015,208,165,54
334,278,4.1078800000000015,206,185,146
365,239,4.1078800000000015,173,151,101
408,196,4.1078800000000015,111,93,51
426,193,4.1078800000000015,135,105,50
273,190,4.1078800000000015,217,188,148
143,185,4.1078800000000015,79,74,53
488,181,4.1078800000000015,177,137,57
321,168,4.1078800000000015,215,195,159
494,157,4.1078800000000015,121,98,42
77,128,4.1078800000000015,190,200,177
442,110,4.1078800000000015,188,144,57
92,99,4.1078800000000015,198,211,206
288,93,4.1078800000000015,189,158,111
480,59,4.1078800000000015,178,187,171
187,57,4.1078800000000015,104,116,83
188,17,4.1078800000000015,170,145,76
145,13,4.1078800000000015,162,123,64
500,1,4.1078800000000015,171,165,132
399,-3,4.1078800000000015,113,100,52
305,-7,4.1078800000000015,226,209,157
457,491,3.82001,203,204,163
418,476,3.82001,162,173,161
296,473,3.82001,191,183,124
232,472,3.82001,163,168,126
454,470,3.82001,157,122,40
498,470,3.82001,191,150,56
315,468,3.82001,185,159,90
419,464,3.82001,183,196,159
195,463,3.82001,171,183,144
253,461,3.82001,195,160,59
423,453,3.82001,172,144,55
197,452,3.82001,131,114,49
328,448,3.82001,230,195,88
401,443,3.82001,179,154,65
438,432,3.82001,160,122,47
193,428,3.82001,126,107,49
225,421,3.82001,127,112,50
401,411,3.82001,154,129,53
145,408,3.82001,120,109,58
145,402,3.82001,119,105,57
478,396,3.82001,178,160,94
480,390,3.82001,183,188,157
291,387,3.82001,98,83,39
155,368,3.82001,166,139,85
200,365,3.82001,193,171,117
120,363,3.82001,147,116,55
206,363,3.82001,202,179,132
489,362,3.82001,202,167,56
470,346,3.82001,210,159,46
87,341,3.82001,130,116,67
505,336,3.82001,205,156,50
356,332,3.82001,108,92,47
463,328,3.82001,137,112,49
287,322,3.82001,199,189,153
314,317,3.82001,200,186,150
191,314,3.82001,191,159,101
54,304,3.82001,147,148,99
405,300,3.82001,156,119,52
83,289,3.82001,142,117,67
420,289,3.82001,166,121,42
192,288,3.82001,191,158,100
234,288,3.82001,206,181,138
216,280,3.82001,191,160,109
166,279,3.82001,160,132,87
431,278,3.82001,187,138,45
445,277,3.82001,201,157,53
354,266,3.82001,217,203,157
294,264,3.82001,105,97,65
70,260,3.82001,145,125,75
472,259,3.82001,223,175,66
456,258,3.82001,172,125,42
161,257,3.82001,146,128,77
481,253,3.82001,196,155,69
504,251,3.82001,157,113,54
87,248,3.82001,168,135,72
465,243,3.82001,220,176,71
479,243,3.82001,233,202,98
86,242,3.82001,155,127,71
282,234,3.82001,217,209,182
238,227,3.82001,235,213,169
66,224,3.82001,127,109,60
501,223,3.82001,230,192,75
176,222,3.82001,100,94,60
239,217,3.82001,236,209,165
486,215,3.82001,242,208,81
296,214,3.82001,221,206,169
286,213,3.82001,219,202,168
240,211,3.82001,229,202,153
244,205,3.82001,232,209,169
263,205,3.82001,228,206,164
225,193,3.82001,128,106,77
249,186,3.82001,232,200,150
207,181,3.82001,146,123,76
232,180,3.82001,176,141,95
475,170,3.82001,163,127,52
75,169,3.82001,151,156,126
106,162,3.82001,130,111,62
180,151,3.82001,155,134,81
216,147,3.82001,144,120,73
242,139,3.82001,173,147,97
383,133,3.82001,202,180,131
289,125,3.82001,117,78,58
71,123,3.82001,184,189,159
342,118,3.82001,220,212,172
230,110,3.82001,171,141,97
258,107,3.82001,161,102,69
488,106,3.82001,96,86,40
399,103,3.82001,176,151,94
365,92,3.82001,189,175,126
140,91,3.82001,123,116,68
280,91,3.82001,168,144,102
500,90,3.82001,109,94,54
409,87,3.82001,94,87,55
219,83,3.82001,124,113,79
360,83,3.82001,174,160,123
482,79,3.82001,143,150,143
414,76,3.82001,120,103,57
393,72,3.82001,203,188,143
171,67,3.82001,136,129,76
285,67,3.82001,216,190,143
105,57,3.82001,173,172,144
487,47,3.82001,193,200,182
467,37,3.82001,235,202,109
264,33,3.82001,190,158,109
283,24,3.82001,221,189,127
115,19,3.82001,136,118,62
45,17,3.82001,214,221,215
429,16,3.82001,170,132,61
217,12,3.82001,173,148,91
87,8,3.82001,150,135,82
426,5,3.82001,162,127,60
10,-8,3.82001,203,204,180
70,-10,3.82001,135,118,71
195,-10,3.82001,167,139,74
51,-11,3.82001,143,123,73
455,500,3.69359,196,184,144
420,482,3.69359,172,183,175
438,476,3.69359,182,183,134
254,475,3.69359,173,162,100
319,463,3.69359,238,206,109
401,463,3.69359,194,194,139
188,458,3.69359,170,176,135
388,454,3.69359,160,157,117
322,452,3.69359,208,173,86
250,451,3.69359,165,128,50
374,442,3.69359,162,132,57
153,435,3.69359,137,140,110
189,422,3.69359,126,105,53
445,403,3.69359,160,123,54
309,398,3.69359,127,103,48
243,395,3.69359,167,136,77
329,393,3.69359,161,122,48
395,387,3.69359,177,138,55
456,380,3.69359,166,131,52
124,378,3.69359,150,121,63
498,377,3.69359,187,193,147
217,375,3.69359,217,200,166
172,370,3.69359,184,158,102
440,368,3.69359,134,101,46
385,362,3.69359,109,93,48
317,350,3.69359,193,176,126
215,347,3.69359,214,194,152
206,338,3.69359,203,178,121
151,337,3.69359,172,142,86
467,337,3.69359,152,115,42
85,335,3.69359,97,90,57
207,331,3.69359,204,174,112
490,323,3.69359,141,114,53
64,319,3.69359,148,134,78
152,317,3.69359,183,152,96
497,315,3.69359,103,89,46
201,314,3.69359,198,170,116
125,313,3.69359,170,143,82
262,307,3.69359,192,175,137
241,294,3.69359,154,133,102
313,293,3.69359,206,189,149
220,292,3.69359,195,169,125
401,291,3.69359,116,92,43
389,290,3.69359,127,101,47
296,286,3.69359,155,129,92
73,284,3.69359,95,86,55
315,281,3.69359,142,115,86
113,278,3.69359,60,53,43
410,275,3.69359,119,94,45
281,257,3.69359,130,119,89
123,255,3.69359,138,125,90
167,255,3.69359,142,123,72
107,252,3.69359,92,84,56
470,249,3.69359,233,190,78
320,246,3.69359,222,209,173
259,245,3.69359,205,190,156
166,239,3.69359,80,72,50
85,235,3.69359,143,121,62
90,225,3.69359,159,131,72
217,218,3.69359,151,120,85
72,213,3.69359,153,135,90
402,213,3.69359,125,99,49
302,210,3.69359,219,201,162
137,180,3.69359,90,89,59
306,178,3.69359,224,202,160
368,178,3.69359,211,185,139
183,177,3.69359,167,137,80
187,161,3.69359,161,133,79
233,161,3.69359,132,105,81
459,159,3.69359,114,91,45
111,158,3.69359,155,129,68
141,144,3.69359,101,97,66
335,140,3.69359,224,209,167
229,128,3.69359,174,145,91
79,118,3.69359,207,215,200
364,102,3.69359,217,198,151
511,97,3.69359,124,105,54
95,92,3.69359,207,218,210
236,91,3.69359,175,144,89
444,85,3.69359,200,183,119
456,76,3.69359,164,175,170
143,70,3.69359,109,123,77
118,66,3.69359,158,135,73
511,65,3.69359,103,96,50
387,63,3.69359,214,200,153
484,53,3.69359,181,188,166
219,45,3.69359,149,132,81
189,42,3.69359,80,81,49
203,39,3.69359,160,145,94
331,35,3.69359,228,217,175
511,35,3.69359,193,209,208
489,26,3.69359,205,194,157
462,7,3.69359,201,160,85
39,5,3.69359,147,146,109
467,-4,3.69359,214,177,93
468,496,3.2793,194,169,85
452,495,3.2793,186,182,144
494,484,3.2793,151,124,54
343,470,3.2793,190,202,201
276,469,3.2793,206,173,80
474,469,3.2793,206,169,73
352,468,3.2793,185,199,195
286,462,3.2793,202,156,67
343,459,3.2793,167,148,92
480,459,3.2793,175,138,63
271,458,3.2793,215,173,68
509,455,3.2793,133,119,59
483,442,3.2793,224,184,69
230,435,3.2793,150,121,51
402,425,3.2793,161,128,55
318,423,3.2793,115,95,41
371,404,3.2793,126,102,48
98,395,3.2793,177,193,173
352,382,3.2793,154,121,52
165,381,3.2793,163,141,87
