x,y,word,size,angle,color
284.0,420.0,replace,15px,1.5707963267948966,#3b77a8
314.0,289.0,ExtendedContext,11px,0.0,#9caf9a
201.0,293.0,header,11px,0.0,#3975a5
60.0,165.0,see,11px,0.0,#3b78a9
274.0,281.0,prefix,11px,0.0,#386f9d
47.0,269.0,user,11px,1.5707963267948966,#4483b6
59.0,304.0,global,11px,0.0,#4686b8
246.0,79.0,attribute,11px,0.0,#ffd94a
111.0,285.0,using,11px,0.0,#407eb0
223.0,257.0,called,11px,0.0,#c2cdb9
261.0,71.0,index,11px,0.0,#ffd745
255.0,219.0,sequence,11px,0.0,#ffe66e
284.0,320.0,split,11px,0.0,#336d9d
309.0,232.0,offset,11px,0.0,#ffe46a
463.0,173.0,io,11px,0.0,#ffd33b
365.0,98.0,_file,11px,1.5707963267948966,#ffedaf
464.0,230.0,section,11px,0.0,#ffd849
31.0,225.0,next,11px,0.0,#4382b4
157.0,384.0,server,11px,0.0,#90b5d3
157.0,403.0,continue,11px,0.0,#80acce
211.0,330.0,yield,11px,0.0,#3a77a7
148.0,168.0,check,11px,0.0,#ffe875
312.0,261.0,cmd,11px,0.0,#5483a9
338.0,276.0,opt,11px,1.5707963267948966,#306998
75.0,270.0,getattr,11px,0.0,#4381b3
220.0,447.0,stat,11px,0.0,#4381b3
100.0,243.0,fp,11px,0.0,#3e7bac
240.0,290.0,local,11px,0.0,#3570a0
261.0,155.0,year,11px,0.0,#ffdf5c
465.0,194.0,non,11px,0.0,#ffd53f
207.0,118.0,empty,11px,0.0,#ffe05d
199.0,21.0,stdout,11px,0.0,#ffe999
382.0,181.0,hasattr,11px,0.0,#ffd94b
109.0,324.0,level,11px,0.0,#4382b4
423.0,171.0,character,11px,0.0,#ffd84c
164.0,202.0,property,11px,0.0,#ffe873
346.0,362.0,width,11px,0.0,#316b9a
358.0,202.0,doc,11px,0.0,#ffdd57
203.0,58.0,second,11px,0.0,#ffda4d
331.0,93.0,warning,11px,0.0,#ffedae
144.0,441.0,two,11px,1.5707963267948966,#5390c0
204.0,107.0,last,11px,0.0,#ffdf5b
351.0,73.0,support,11px,1.5707963267948966,#ffe484
396.0,356.0,resp,11px,0.0,#ffe873
227.0,438.0,create,11px,0.0,#4280b1
57.0,144.0,copy,11px,0.0,#83a9c8
247.0,326.0,pattern,11px,0.0,#3772a3
265.0,348.0,ans,11px,0.0,#3772a2
135.0,245.0,indent,11px,0.0,#3b78a8
347.0,307.0,repr,11px,0.0,#306998
390.0,129.0,returned,11px,0.0,#fff6d8
349.0,430.0,buf,11px,0.0,#3671a0
484.0,283.0,protocol,11px,1.5707963267948966,#fff0b8
347.0,345.0,host,11px,0.0,#306998
409.0,205.0,newline,11px,0.0,#ffda4d
48.0,246.0,Note,11px,0.0,#4382b4
274.0,50.0,member,11px,0.0,#ffd43d
161.0,37.0,event,11px,0.0,#ffeeac
219.0,410.0,keyword,11px,0.0,#558cb8
393.0,313.0,info,11px,0.0,#ffe66f
179.0,225.0,system,11px,0.0,#ffe874
95.0,173.0,op,11px,0.0,#3975a5
298.0,385.0,token,11px,1.5707963267948966,#3772a2
272.0,272.0,port,11px,0.0,#316a99
438.0,271.0,param,11px,1.5707963267948966,#ffdf5a
270.0,147.0,screen,11px,0.0,#ffe88c
339.0,407.0,readline,11px,0.0,#3570a0
463.0,279.0,fileobj,11px,1.5707963267948966,#ffe478
202.0,478.0,exist,11px,0.0,#4b89ba
411.0,287.0,traceback,11px,0.0,#ffe262
104.0,358.0,chunk,11px,0.0,#4a89ba
63.0,348.0,del,11px,0.0,#498abd
348.0,329.0,don,11px,0.0,#306998
168.0,313.0,assert,11px,0.0,#3d7aab
163.5,122.0,__class__,8px,0.0,#ffe366
301.5,312.0,tarinfo,8px,0.0,#316b9a
101.0,166.0,content,8px,0.0,#3874a4
271.0,196.0,fd,8px,0.0,#ffe366
292.0,130.0,specified,8px,0.0,#ffe996
236.5,125.0,stderr,8px,0.0,#ffde59
298.0,400.0,find,8px,0.0,#3874a4
114.0,227.0,compile,8px,0.0,#3b78a9
311.5,191.0,KeyError,8px,0.0,#ffdf5c
155.5,62.0,attr,8px,0.0,#ffde58
263.0,96.0,run,8px,0.0,#ffda4c
131.0,239.0,archive,8px,0.0,#3b77a8
390.0,158.0,make,8px,0.0,#ffd745
348.5,444.0,dir,8px,0.0,#3772a2
425.5,132.0,block,8px,0.0,#ffeaa3
271.0,41.0,need,8px,0.0,#ffd43c
430.5,151.0,platform,8px,0.0,#ffd954
176.0,338.0,month,8px,0.0,#3e7cad
399.0,248.0,length,8px,0.0,#ffdf5b
141.0,124.0,implementation,8px,1.5707963267948966,#ffe66f
326.0,152.0,decode,8px,0.0,#ffdb4f
305.0,173.0,sep,8px,0.0,#ffde59
57.0,229.0,escape,8px,0.0,#407eb0
276.0,9.0,closed,8px,0.0,#ffde6b
410.0,165.0,pickle,8px,0.0,#ffd642
282.5,81.0,day,8px,0.0,#ffd744
224.0,268.0,variable,8px,0.0,#82a6c4
155.0,456.0,position,8px,0.0,#4d8cbe
428.0,193.0,invalid,8px,0.0,#ffd746
309.0,210.0,float,8px,0.0,#ffe262
225.0,169.0,classes,8px,0.0,#ffe367
158.0,449.0,push,8px,0.0,#4888bb
190.0,15.0,instead,8px,0.0,#fff2c5
36.5,171.0,order,8px,0.0,#4681b0
183.5,332.0,seek,8px,0.0,#3d7aab
213.0,324.0,node,8px,1.5707963267948966,#3a76a7
389.0,344.0,digit,8px,0.0,#ffec8c
266.0,435.5,already,8px,1.5707963267948966,#3d7aab
44.5,189.0,AttributeError,8px,0.0,#c2d6e6
153.0,164.0,NotImplemented,6px,0.0,#ffea84
287.0,404.5,bit,6px,1.5707963267948966,#3976a5
384.5,269.0,package,6px,0.0,#ffe263
104.0,213.0,root,6px,1.5707963267948966,#3b77a8
146.0,322.0,change,6px,1.5707963267948966,#407daf
46.5,298.0,found,6px,0.0,#4787b9
480.0,215.0,tell,6px,0.0,#ffd642
241.0,454.0,sign,6px,0.0,#417fb1
253.0,375.5,map,6px,1.5707963267948966,#598cb5
285.0,424.5,process,6px,1.5707963267948966,#3b77a8
179.5,102.0,available,6px,0.0,#ffe05d
260.5,336.0,named,6px,0.0,#3772a2
317.0,23.0,raw,6px,0.0,#ffd43a
271.5,143.0,namespace,6px,0.0,#ffea96
352.0,388.0,entry,6px,0.0,#326c9b
271.0,315.0,stop,6px,0.0,#346e9e
308.0,272.0,fullname,6px,0.0,#4276a1
308.0,141.0,id,6px,0.0,#ffdb50
453.0,212.0,encode,6px,0.0,#ffd846
452.0,149.0,remove,6px,0.0,#ffd43c
333.0,130.0,startswith,6px,0.0,#ffeaa1
237.5,6.0,typ,6px,0.0,#ffd852
208.0,139.0,__all__,6px,0.0,#ffe162
338.0,44.0,single,6px,0.0,#ffd647
168.5,32.0,operation,6px,0.0,#ffefb4
460.0,311.0,opcode,6px,1.5707963267948966,#ffe160
296.5,428.0,without,6px,0.0,#3b77a7
241.0,50.0,handle,6px,0.0,#ffd643
